psampleid;measurementunit;worms_id;taxonrank;month;year;depth;decimallatitude;decimallongitude;PSD1;PSD2;PSD3;scientificname
9816;no unit;PSD;Genus;8;2012;150;34.601;-123.08133;1.41946596731131;9.029798878474226;12.172024407422505;PSDcoef
9817;no unit;PSD;Genus;8;2012;150;34.59367;-122.992;1.458275329245751;9.027683280991466;12.183453625991794;PSDcoef
9818;no unit;PSD;Genus;8;2012;150;34.587;-122.90183;2.491491374550266;6.938705248506461;7.21468718874459;PSDcoef
9818;no unit;PSD;Genus;8;2012;150;34.586999999999996;-122.90183;2.491491374550266;6.938705248506461;7.21468718874459;PSDcoef
9819;no unit;PSD;Genus;8;2012;150;34.58617;-122.88333;2.533009005588467;7.2219519436685555;7.501133160828516;PSDcoef
9820;no unit;PSD;Genus;8;2012;150;34.5845;-122.86617;2.6216869200118778;7.070109674187657;7.2724664638612175;PSDcoef
9821;no unit;PSD;Genus;8;2012;150;34.5835;-122.84767;2.713553151366769;7.0244945866734785;7.568718513527227;PSDcoef
9822;no unit;PSD;Genus;8;2012;150;34.58233;-122.83;2.6355283704793577;7.0833152503546435;7.552237200522203;PSDcoef
9823;no unit;PSD;Genus;8;2012;150;34.58017;-122.79383;2.734397909670535;6.762567584752662;7.2206410951615645;PSDcoef
9824;no unit;PSD;Genus;8;2012;150;34.57833;-122.77367;2.7608678638869093;6.615030614676027;7.145282655140239;PSDcoef
9825;no unit;PSD;Genus;8;2012;150;34.57467;-122.74133;2.6431390375721318;6.995645073780569;6.858222191928545;PSDcoef
9825;no unit;PSD;Genus;8;2012;150;34.574670000000005;-122.74133;2.6431390375721318;6.995645073780569;6.858222191928545;PSDcoef
9826;no unit;PSD;Genus;8;2012;150;34.573;-122.69983;2.6211542482271155;7.111463328551533;6.912419423543867;PSDcoef
9827;no unit;PSD;Genus;8;2012;150;34.5705;-122.66167;2.661679437334014;6.8948991832437505;6.799493562129476;PSDcoef
